Nombre del Lugar,Categoría,Dirección,Latitud,Longitud,Tiempo de Estancia,Costo Estimado,Imagen,Subcategoría,Nota para IA
"Estadio Akron, Guadalajara",Fútbol,Cto. J.V.C. 2800,"20,6817764","-103,4626455",180,,,,"Sede oficial del Mundial 2026 en Guadalajara. Estadio de clase mundial con capacidad para 49,850 aficionados y casa del Chivas FC."
"Glorieta de la Minerva, Guadalajara",Fútbol,Av. Ignacio L Vallarta,"20,6743943","-103,3874128",45,Gratis,,,"Icónico monumento de Guadalajara en honor a la diosa Minerva. Punto de referencia tapatío en la avenida Vallarta y símbolo de la identidad de la ciudad."
"Museo Chivas, Guadalajara",Arquitectura,Cto. J.V.C. 2800,"20,6819467","-103,4626455",90,$150,,,"Museo interactivo del Club Deportivo Guadalajara. Recorre la historia del equipo más campeón de México con exhibiciones de trofeos y jerseys históricos."
"La Gran Plaza Fashion Mall, Guadalajara",Compras,La Gran Plaza Fashion Mall,"20,6737855","-103,4047841",90,$100,,,"Uno de los centros comerciales más grandes de Latinoamérica con más de 300 tiendas, restaurantes y entretenimiento en la zona metropolitana de Guadalajara."
"Tortas Ahogadas ""El Güerito"", Guadalajara",Gastronomía Mexicana,Calle Francisco I. Madero 13,"20,6730994","-103,3436262",60,$100 - $200,,Callejero,"Pan birote bañado en salsa de chile de árbol: el antojito callejero más representativo de Guadalajara. Un clásico imperdible cerca del Centro Histórico."
"Centro Histórico de Tlaquepaque, Guadalajara","Cultura, Eventos, Postre, Mercados Locales, Museos, Aventura, Compras, Vida Nocturna, Fotografía, Música, Arquitectura, Arte e Historia",Calle Independencia,"20,6393535","-103,3149955",60,Gratis,,,"Pueblo Mágico y corazón artesanal de Jalisco. Calles empedradas con galerías de arte, talleres de artesanos, restaurantes y vida nocturna a minutos de Guadalajara."
"Santo Coyote Real, Guadalajara","Gastronomía Mexicana, Gastronomía",Av. del Servidor Público 3600,"20,7331289","-103,4307459",150,$500 - $600,,Gourmet,"Icónico restaurante mexicano creativo en un jardín encantador con fuentes y velas. Famoso por su sopa Azteca y ambiente bohemio; una experiencia sensorial completa."
"Santo Coyote, Guadalajara","Gastronomía, Gastronomía Mexicana",C. Miguel Lerdo de Tejada 2379,"20,670492","-103,377027",150,$500 - $600,,Gourmet,"Sucursal del icónico Santo Coyote en la Colonia Americana. Cocina mexicana creativa con ambiente bohemio y jardín; perfecto para una cena especial en Guadalajara."
"La Bodega de León, Guadalajara","Gastronomía, Gastronomía Mexicana",C. Miguel de Cervantes Saavedra 144,"20,6725991","-103,3749047",150,$500 - $600,,Gourmet,"Cocina mexicana contemporánea en un espacio íntimo y elegante. Menú variado con ingredientes locales de alta calidad; ideal para cenas románticas en el barrio Americana."
"Mutante Restaurante, Guadalajara","Gastronomía Mexicana, Gastronomía, Vida Nocturna, Música",Lopez Cotilla 1937 Colonia Americana Laffayette S.J,"20,6731631","-103,376819",150,$500 - $600,,Gourmet,"Restaurante de cocina mexicana de autor con música en vivo y ambiente vanguardista. Menú rotativo con ingredientes de temporada en la vibrante Colonia Americana."
"Plaza de Armas, Guadalajara",Cultura,Plaza de Armas,"20,6763238","-103,3469332",60,Gratis,,,"La plaza principal de Guadalajara desde el siglo XVI. Rodeada por la Catedral y el Palacio de Gobierno; su quiosco modernista de hierro francés es una joya fotográfica."
"Casa Museo López Portillo, Guadalajara","Cultura, Museos, Arte e Historia","Calle Liceo 177, Centro Histórico","20,6757","-103,3462",60,Gratis,,Museo histórico,"Residencia neoclásica del siglo XIX en el corazón del Centro Histórico. Alberga exposiciones permanentes de arte, historia y cultura jalisciense en una elegante arquitectura colonial. Un recorrido por la vida aristocrática del Guadalajara histórico."
"Karne Garibaldi (Santa Tere), Guadalajara",Gastronomía Mexicana,Calle Garibaldi,"20,6813489","-103,3669478",90,$250 - $400,,Tradicional,"Récord Guinness al servicio de restaurante más rápido del mundo. Carne en su jugo servida en tiempo récord; una experiencia única de la gastronomía tapatía."
"Karne Garibaldi Sucursal Tlaquepaque, Guadalajara",Gastronomía Mexicana,Blvd. Gral. Marcelino García Barragán 1627,"20,652878","-103,3250386",90,$250 - $400,,Tradicional,"Sucursal del famoso Récord Guinness cerca de Tlaquepaque. La misma carne en su jugo servida a velocidad récord; imperdible antes de explorar las artesanías del Pueblo Mágico."
"Karne Garibaldi Sucursal Plaza Del Sol, Guadalajara",Gastronomía Mexicana,Av. Mariano Otero 3019,"20,6477173","-103,4309",90,$250 - $400,,Tradicional,"Sucursal del icónico Récord Guinness en la zona de Plaza del Sol. Carne en su jugo en tiempo récord; una parada obligada para conocer la gastronomía rápida tapatía."
"El Sacromonte, Guadalajara",Gastronomía Mexicana,C. Pedro Moreno 1398,"20,6757368","-103,3660848",120,$500 - $900,,Gourmet,"Cocina mexicana de autor en el barrio Americana. Ingredientes locales con presentaciones contemporáneas que preservan los sabores tradicionales jaliscienses en un ambiente elegante."
"Los Famosos Equipales, Guadalajara",Gastronomía Mexicana,C. Juan Álvarez 704,"20,6845544","-103,3523226",90,$200 - $400,,Tradicional,"Restaurante de cocina tapatía auténtica en sillas de madera y cuero típicas de Jalisco. Birria de res y platillos regionales con el ambiente más genuino del norte de la ciudad."
"La Chata, Guadalajara",Gastronomía Mexicana,Av. Ramón Corona 126,"20,6746934","-103,3466531",90,$200 - $450,,Tradicional,"Institución gastronómica de Guadalajara desde 1942. Pozole, birria y sopes en el centro histórico; referencia obligada para conocer la cocina tapatía auténtica."
"La Chata Terranova, Guadalajara",Gastronomía Mexicana,Av Terranova 405A,"20,6828334","-103,3873673",90,$200 - $451,,Tradicional,"Sucursal de la institución gastronómica tapatía desde 1942. Los mismos sabores clásicos de pozole rojo y birria en la zona Providencia; tradicional desde el desayuno."
"Birriería Las Nueve Esquinas, Guadalajara",Gastronomía Mexicana,C. Colón 384,"20,6706857","-103,348513",70,$150 - $350,,Tradicional,"La birria de chivo más emblemática de Guadalajara en el pintoresco barrio de las Nueve Esquinas. Receta familiar con más de 80 años de tradición jalisciense."
"Tacos Providencia, Guadalajara",Gastronomía Mexicana,C. Justo Sierra 3084,"20,6770078","-103,3931757",60,$100 - $350,,Callejero,"Tacos de guisado casero en la zona Providencia; punto de encuentro de tapatíos para un almuerzo rápido y auténtico con salsas caseras a tu gusto."
"Tacos Providencia Ruben Daria, Guadalajara",Gastronomía Mexicana,Av. Rubén Darío 534,"20,685292","-103,3850041",60,$100 - $350,,Callejero,"Tacos de guisado en estilo casero tapatío sobre la avenida Rubén Darío. Sabores reconfortantes de la cocina diaria de Guadalajara a precios muy accesibles."
"Los Laureles (Av. México), Guadalajara",Gastronomía Mexicana,Av. México 2605,"20,679192","-103,382849",90,$300 - $550,,Tradicional,"Cocina mexicana casera y reconfortante sobre la avenida México. Caldos y guisados con técnica tradicional en porciones generosas; favorito de familias tapatías."
"Restaurante Casa Luna, Guadalajara","Gastronomía Mexicana, Postre, Música",Calle Independencia 211-int. A,"20,6391717","-103,3139611",150,$500 - $600,,Tradicional,"Ambiente romántico y colonial en el corazón de Tlaquepaque con cocina mexicana artesanal. Música en vivo y postres de autor; ideal para una cena especial con pareja."
"Tortas Ahogadas Don Jose El De La Bicicleta, Guadalajara",Gastronomía Mexicana,C. Mexicaltzingo 27,"20,6652842","-103,3479514",45,$120 - $250,,Callejero,"Uno de los puestos más populares de tortas ahogadas en Guadalajara. Tradición familiar y receta auténtica que ha conquistado el paladar de generaciones de tapatíos."
"Cantina La Fuente, Guadalajara","Gastronomía Mexicana, Música, Vida Nocturna",C. Pino Suárez 78,"20,6777418","-103,3456321",90,$200-$300,,Tradicional,"Una de las cantinas más antiguas del Centro Histórico, fundada en 1921. Ambiente de época, botanas sin costo, música en vivo y la mejor selección de tequilas jaliscienses."
"El Parián de Tlaquepaque, Guadalajara","Gastronomía Mexicana, Vida Nocturna, Cultura",Calle Progreso 15,"20,6388349","-103,3110439",120,$300,,Tradicional,"Recinto gastronómico y cultural en el corazón de Tlaquepaque. Mariachis en vivo, birria y tequila en un espacio colonial que es visita obligada para cualquier turista."
"Instituto Cultural Cabañas, Guadalajara","Cultura, Fotografía, Arte e Historia, Museos",Pl. Tapatía,"20,6768911","-103,3406483",120,$80,,,"Patrimonio de la Humanidad por la UNESCO. Fundado en 1810 como casa de beneficencia; alberga los murales de José Clemente Orozco con el icónico Hombre de Fuego en su cúpula."
"Teatro Degollado, Guadalajara ","Fotografía, Música, Arte e Historia, Cultura, Museos, Aventura, Eventos",C. Degollado s/n,"20,6769963","-103,34477",45,$90 - $350,,,"El principal recinto escénico de Guadalajara inaugurado en 1866. Sede de la Orquesta Filarmónica y el Ballet Folklórico de la UdeG; su fachada neoclásica es Patrimonio Cultural."
"Catedral Metropolitana, Guadalajara","Cultura, Música, Fotografía, Vida Nocturna, Postre",Guadalajara,"20,6751707","-103,3473385",40,Gratis,,,"La catedral más importante de Jalisco construida entre 1561 y 1618. Sus torres gemelas y vitrales europeos la convierten en el símbolo más reconocible de Guadalajara."
"Palacio de Gobierno de Jalisco, Guadalajara","Cultura, Museos, Arquitectura, Arte e Historia",Av. Ramón Corona 31,"20,6761701","-103,3463247",60,Gratis,,,"Sede del gobierno estatal con los famosos murales de José Clemente Orozco que retratan al cura Hidalgo. Acceso gratuito para admirar su arquitectura barroca colonial."
"Rotonda de los Jaliscienses Ilustres, Guadalajara","Naturaleza, Arquitectura, Fotografía",Rotonda de los Jaliscienses Ilustres,"20,6778865","-103,3470261",30,Gratis,,,"Mausoleo circular que honra a los grandes personajes de Jalisco. Sus columnas dóricas y jardines junto a la Catedral crean uno de los espacios más fotogénicos del centro."
"Museo del Periodismo y las Artes Gráficas, Guadalajara","Cultura, Museos, Arquitectura, Arte e Historia, Fotografía",Av. Alcalde 225,"20,6799521","-103,3478543",60,Gratis,,,"Instalado en la Casa de los Perros, edificio barroco del siglo XVIII. Exhibe la historia del periodismo y la imprenta en México con valiosas piezas históricas originales."
"Expiatorio del Santísimo Sacramento, Guadalajara","Cultura, Museos, Arquitectura, Arte e Historia",C. Manuel López Cotilla 935,"20,6736946","-103,3589671",45,Gratis,,,"Majestuosa iglesia neogótica construida entre 1897 y 1972. Sus rosetones y vitrales importados de Alemania la convierten en una de las más bellas y fotografiadas de Guadalajara."
